layer,accuracy,auc
h0,0.35,0.3177083333333333
h1,0.45,0.3489583333333333
h2,0.35,0.3020833333333333
h3,0.4,0.3541666666666667
h4,0.4,0.40625
h5,0.5,0.44270833333333337
h6,0.55,0.4166666666666667
h7,0.4,0.375
h8,0.35,0.41666666666666663
h9,0.5,0.375
h10,0.5,0.3958333333333333
h11,0.35,0.3854166666666667
h12,0.35,0.37499999999999994
h13,0.35,0.3645833333333333
h14,0.4,0.34375
h15,0.4,0.3333333333333333
