Dataset,Method,Algorithm,Training Size,Actual Size Trained,Layer,AUC,MAP,BRP_90
race,White Box,LAT,200,200,23,0.5325,0.5352259621147328,0.004
race,White Box,CCS,200,200,19,0.751296,0.7351221814201837,0.082
race,White Box,LDA,200,200,19,0.6618360000000001,0.6319215269123132,0.004
race,White Box,PCA,200,200,4,0.5019319999999999,0.5045843591712299,0.004
race,White Box,PCA-G,200,200,27,0.7785560000000001,0.7656552754727601,0.074
race,White Box,LR-G,200,200,20,0.9108799999999999,0.9117596442947181,0.664
race,Black Box,BB,500,500,N/A,0.725796,0.7059583064213125,0.072
race,White Box,LR,500,500,17,0.7758,0.7624945077911416,0.088
race,White Box,DIM,500,500,31,0.771096,0.757019983726157,0.036
race,White Box,LAT,500,500,23,0.5804279999999999,0.5781473544252487,0.018
race,White Box,CCS,500,500,19,0.7826919999999999,0.7662422580837578,0.042
race,White Box,LDA,500,500,17,0.652664,0.6208090934275892,0.004
race,White Box,PCA,500,500,24,0.574936,0.5747551910772459,0.01
race,White Box,PCA-G,500,500,27,0.778272,0.7655671936700973,0.044
race,White Box,LR-G,500,500,13,0.8780439999999999,0.8741836159946527,0.504
race,Black Box,BB,1000,1000,N/A,0.734364,0.7078924009344703,0.036
race,White Box,LR,1000,1000,17,0.7876,0.7798693584159476,0.112
race,White Box,DIM,1000,1000,31,0.76746,0.7509890827652033,0.026
race,White Box,LAT,1000,1000,24,0.537812,0.5395822010794675,0.004
race,White Box,CCS,1000,1000,25,0.781148,0.774618766713493,0.1
race,White Box,LDA,1000,1000,18,0.6239759999999999,0.5885335022495586,0.002
race,White Box,PCA,1000,1000,24,0.560356,0.5617050897538981,0.008
race,White Box,PCA-G,1000,1000,22,0.7766439999999999,0.7676745601840582,0.058
race,White Box,LR-G,1000,1000,16,0.927708,0.9281533508452311,0.754
race,Black Box,BB,2000,2000,N/A,0.746764,0.729391296163603,0.06
race,White Box,LR,2000,2000,16,0.7983679999999999,0.7857715210133664,0.148
race,White Box,DIM,2000,2000,22,0.7709520000000001,0.7611859909178764,0.038
race,White Box,LAT,2000,2000,25,0.560308,0.5625777487158627,0.008
race,White Box,CCS,2000,2000,18,0.7904399999999999,0.7697845374861367,0.1
race,White Box,LDA,2000,2000,17,0.6203799999999999,0.6021638555176072,0.0
race,White Box,PCA,2000,2000,24,0.5723640000000001,0.5738751595955286,0.012
race,White Box,PCA-G,2000,2000,22,0.774788,0.7661745228477884,0.05
race,White Box,LR-G,2000,2000,31,0.901288,0.8994346973148245,0.598
race,Black Box,BB,5000,5000,N/A,0.750452,0.734311901297839,0.046
race,White Box,LR,5000,5000,16,0.813204,0.8037645645765932,0.236
race,White Box,DIM,5000,5000,22,0.771244,0.761708381908483,0.038
race,White Box,LAT,5000,5000,24,0.5725119999999999,0.5741189580975,0.012
race,White Box,CCS,5000,5000,25,0.813972,0.7993057523024628,0.076
race,White Box,LDA,5000,5000,29,0.601924,0.5800636355401271,0.004
race,White Box,PCA,5000,5000,24,0.569164,0.5718554042111583,0.012
race,White Box,PCA-G,5000,5000,28,0.7744239999999999,0.7609212777561893,0.028
race,White Box,LR-G,5000,5000,16,0.933096,0.9348604173861793,0.784
arc_easy,Black Box,BB,100,100,N/A,0.839164,0.8303268195155752,0.396
arc_easy,White Box,LR,100,100,32,0.8696200000000001,0.8729615345336854,0.53
arc_easy,White Box,DIM,100,100,28,0.8579239999999999,0.8383535921231698,0.328
arc_easy,White Box,LAT,100,100,32,0.7801999999999999,0.7162399445343917,0.002
arc_easy,White Box,CCS,100,100,24,0.872188,0.8723232999274273,0.532
arc_easy,White Box,LDA,100,100,32,0.8124720000000001,0.8035235555472373,0.314
arc_easy,White Box,PCA,100,100,32,0.783304,0.73315589061053,0.004
arc_easy,White Box,PCA-G,100,100,23,0.862272,0.8469942378362144,0.416
arc_easy,White Box,LR-G,100,100,6,0.6001920000000001,0.5956654386127289,0.012
arc_easy,Black Box,BB,200,200,N/A,0.8623599999999999,0.8474039511229746,0.51
arc_easy,White Box,LR,200,200,31,0.865024,0.850730383936815,0.5
arc_easy,White Box,DIM,200,200,32,0.8550479999999999,0.8372899739137988,0.256
arc_easy,White Box,LAT,200,200,32,0.7585520000000001,0.6922980415693174,0.002
arc_easy,White Box,CCS,200,200,19,0.8805079999999998,0.8716111405225837,0.576
arc_easy,White Box,LDA,200,200,32,0.8010280000000001,0.7762598366932858,0.056
arc_easy,White Box,PCA,200,200,32,0.776696,0.7174366973232501,0.002
arc_easy,White Box,PCA-G,200,200,24,0.8540760000000001,0.8312987937507013,0.362
arc_easy,White Box,LR-G,200,200,13,0.958944,0.9589498368544027,0.912
arc_easy,Black Box,BB,500,500,N/A,0.8720120000000001,0.8534427932940649,0.444
arc_easy,White Box,LR,500,500,17,0.8876999999999999,0.8888189705304119,0.59
