Source,Target,Method,Layer,InDist_AUC,InDist_MAP,InDist_BRP_90,OutDist_AUC,OutDist_MAP,OutDist_BRP_90,Recovered_AUC,Recovered_MAP,Recovered_BRP_90
commonsense_qa,commonsense_qa,Grouped Logistic Regression,15,0.867828125,0.6761144652150111,0.195,0.867828125,0.6761144652150111,0.195,1.0,1.0,1.0
commonsense_qa,race,Grouped Logistic Regression,15,0.867828125,0.6761144652150111,0.195,0.6552693333333333,0.3807700358094724,0.0,0.7550680998421586,0.5631739230551498,0.0
commonsense_qa,arc_easy,Grouped Logistic Regression,15,0.867828125,0.6761144652150111,0.195,0.7320146097037952,0.5220889354628592,0.09236947791164658,0.8435018278576708,0.772190157618991,0.4736896303161363
commonsense_qa,arc_challenge,Grouped Logistic Regression,15,0.867828125,0.6761144652150111,0.195,0.601051069420582,0.3400272511474522,0.00398406374501992,0.6925922911527925,0.5029137352346399,0.020431096128307284
commonsense_qa,open_book_qa,Grouped Logistic Regression,15,0.867828125,0.6761144652150111,0.195,0.6440746666666666,0.38686067799566476,0.004,0.742168464137604,0.5721822234237205,0.020512820512820513
commonsense_qa,got_cities,Grouped Logistic Regression,15,0.867828125,0.6761144652150111,0.195,0.8534021719003583,0.853507040379246,0.4521452145214521,0.9833769467892716,1.2623706255239227,2.3186934078023187
commonsense_qa,got_sp_en_trans,Grouped Logistic Regression,15,0.867828125,0.6761144652150111,0.195,0.460166468489893,0.5023171432751142,0.034482758620689655,0.5302506973830712,0.7429468960043214,0.17683465959328026
commonsense_qa,got_larger_than,Grouped Logistic Regression,15,0.867828125,0.6761144652150111,0.195,0.8125274815470571,0.8522954254967035,0.5520581113801453,0.9362769633065962,1.2605785992548837,2.8310672378468986
commonsense_qa,imdb,Grouped Logistic Regression,15,0.867828125,0.6761144652150111,0.195,0.868564,0.8222680030703488,0.056,1.0008479501629428,1.2161668554286285,0.28717948717948716
commonsense_qa,amazon_polarity,Grouped Logistic Regression,15,0.867828125,0.6761144652150111,0.195,0.406608,0.4463515474482371,0.0,0.4685351722151204,0.6601715691828792,0.0
commonsense_qa,ag_news,Grouped Logistic Regression,15,0.867828125,0.6761144652150111,0.195,0.8100320000000001,0.5241372929042368,0.004,0.9334014151707749,0.7752197591831673,0.020512820512820513
commonsense_qa,dbpedia_14,Grouped Logistic Regression,15,0.867828125,0.6761144652150111,0.195,0.9126107519157087,0.3534191130957492,0.0,1.0516031062207263,0.5227208280233413,0.0
commonsense_qa,rte,Grouped Logistic Regression,15,0.867828125,0.6761144652150111,0.195,0.5883303574919522,0.5796985516040577,0.0,0.6779341905886632,0.8573970554227203,0.0
commonsense_qa,copa,Grouped Logistic Regression,15,0.867828125,0.6761144652150111,0.195,0.6248,0.6329723154992755,0.04,0.7199582290560127,0.9361910564921637,0.20512820512820512
commonsense_qa,boolq,Grouped Logistic Regression,15,0.867828125,0.6761144652150111,0.195,0.704304,0.6572025984882738,0.026,0.8115708395599648,0.972028602108486,0.13333333333333333
race,commonsense_qa,Grouped Logistic Regression,17,0.8316266666666666,0.6626215186379257,0.148,0.7288031250000001,0.39555604963280033,0.0,0.8763585322740975,0.5969562389792277,0.0
race,race,Grouped Logistic Regression,17,0.8316266666666666,0.6626215186379257,0.148,0.8316266666666666,0.6626215186379257,0.148,1.0,1.0,1.0
race,arc_easy,Grouped Logistic Regression,17,0.8316266666666666,0.6626215186379257,0.148,0.7596404258846303,0.5346033369373143,0.012048192771084338,0.913439234614046,0.806800446258124,0.08140670791273202
race,arc_challenge,Grouped Logistic Regression,17,0.8316266666666666,0.6626215186379257,0.148,0.6715195293591988,0.3785387866524342,0.0,0.8074771484310254,0.5712745149456548,0.0
race,open_book_qa,Grouped Logistic Regression,17,0.8316266666666666,0.6626215186379257,0.148,0.66552,0.41707824229179835,0.0,0.8002629384980441,0.6294366098299038,0.0
race,got_cities,Grouped Logistic Regression,17,0.8316266666666666,0.6626215186379257,0.148,0.23422540273829362,0.36020496355523796,0.0,0.28164729695010615,0.5436058948035215,0.0
race,got_sp_en_trans,Grouped Logistic Regression,17,0.8316266666666666,0.6626215186379257,0.148,0.48335315101070153,0.5483710721852271,0.06896551724137931,0.5812141077054226,0.8275781222928739,0.4659832246039143
race,got_larger_than,Grouped Logistic Regression,17,0.8316266666666666,0.6626215186379257,0.148,0.49399363307517785,0.48771694798423443,0.0,0.594008889896722,0.7360415173156127,0.0
race,imdb,Grouped Logistic Regression,17,0.8316266666666666,0.6626215186379257,0.148,0.7392520000000001,0.7946084965825075,0.418,0.8889229141281346,1.1991890909548064,2.8243243243243246
race,amazon_polarity,Grouped Logistic Regression,17,0.8316266666666666,0.6626215186379257,0.148,0.541888,0.517855192474495,0.002,0.6516000769576092,0.7815248643584498,0.013513513513513514
race,ag_news,Grouped Logistic Regression,17,0.8316266666666666,0.6626215186379257,0.148,0.8126293333333333,0.5833348749136288,0.044,0.9771564163406657,0.8803439950346356,0.2972972972972973
race,dbpedia_14,Grouped Logistic Regression,17,0.8316266666666666,0.6626215186379257,0.148,0.8143708093869733,0.2035286856648389,0.0,0.9792504762397068,0.30715677040372796,0.0
race,rte,Grouped Logistic Regression,17,0.8316266666666666,0.6626215186379257,0.148,0.6941443261348382,0.7034753304175264,0.09747292418772563,0.8346826213703724,1.0616548219918651,0.6586008391062543
race,copa,Grouped Logistic Regression,17,0.8316266666666666,0.6626215186379257,0.148,0.6975,0.6355959581913768,0.01,0.8387176938369781,0.959214182325225,0.06756756756756757
race,boolq,Grouped Logistic Regression,17,0.8316266666666666,0.6626215186379257,0.148,0.774052,0.7770651305186174,0.198,0.9307686141217213,1.1727133946931578,1.337837837837838
arc_easy,commonsense_qa,Grouped Logistic Regression,15,0.9430852571404126,0.8881947217846972,0.6586345381526104,0.7855843749999999,0.5064978202980879,0.0,0.8329940151773967,0.5702553819283622,0.0
arc_easy,race,Grouped Logistic Regression,15,0.9430852571404126,0.8881947217846972,0.6586345381526104,0.7495626666666666,0.4971908330549629,0.024,0.7947984140261742,0.5597768381869358,0.03643902439024391
arc_easy,arc_easy,Grouped Logistic Regression,15,0.9430852571404126,0.8881947217846972,0.6586345381526104,0.9430852571404126,0.8881947217846972,0.6586345381526104,1.0,1.0,1.0
arc_easy,arc_challenge,Grouped Logistic Regression,15,0.9430852571404126,0.8881947217846972,0.6586345381526104,0.6940249682179161,0.4485774856534686,0.00398406374501992,0.7359090421181139,0.5050440794695535,0.006048974832377806
arc_easy,open_book_qa,Grouped Logistic Regression,15,0.9430852571404126,0.8881947217846972,0.6586345381526104,0.6598826666666667,0.4073825743729084,0.024,0.699706269046701,0.45866358398790397,0.03643902439024391
arc_easy,got_cities,Grouped Logistic Regression,15,0.9430852571404126,0.8881947217846972,0.6586345381526104,0.9745667636070537,0.9802382253324942,0.9438943894389439,1.0333814002798625,1.1036298699938782,1.4331079449408355
arc_easy,got_sp_en_trans,Grouped Logistic Regression,15,0.9430852571404126,0.8881947217846972,0.6586345381526104,0.504756242568371,0.5538219016361617,0.017241379310344827,0.5352180396700016,0.623536582747686,0.026177460050462575
arc_easy,got_larger_than,Grouped Logistic Regression,15,0.9430852571404126,0.8881947217846972,0.6586345381526104,0.6976003845950906,0.6980864501338139,0.09443099273607748,0.7397002331584824,0.7859610432396079,0.143373885312703
arc_easy,imdb,Grouped Logistic Regression,15,0.9430852571404126,0.8881947217846972,0.6586345381526104,0.9877279999999999,0.9887163297326053,0.966,1.0473369109755266,1.1131751917484092,1.466670731707317
arc_easy,amazon_polarity,Grouped Logistic Regression,15,0.9430852571404126,0.8881947217846972,0.6586345381526104,0.797248,0.8186670861816772,0.452,0.8453615343509718,0.9217202783379366,0.6862682926829269
arc_easy,ag_news,Grouped Logistic Regression,15,0.9430852571404126,0.8881947217846972,0.6586345381526104,0.8723253333333334,0.7070207948132853,0.124,0.9249697487355123,0.7960200364539778,0.18826829268292683
arc_easy,dbpedia_14,Grouped Logistic Regression,15,0.9430852571404126,0.8881947217846972,0.6586345381526104,0.9762033045977011,0.7791471833130328,0.125,1.0351167057342279,0.8772256400572283,0.18978658536585366
arc_easy,rte,Grouped Logistic Regression,15,0.9430852571404126,0.8881947217846972,0.6586345381526104,0.5470552203208696,0.554989515428217,0.036101083032490974,0.5800697404385577,0.6248511748786875,0.05481201021396496
arc_easy,copa,Grouped Logistic Regression,15,0.9430852571404126,0.8881947217846972,0.6586345381526104,0.6874,0.6420650436354178,0.0,0.7288842602463199,0.7228877045624434,0.0
arc_easy,boolq,Grouped Logistic Regression,15,0.9430852571404126,0.8881947217846972,0.6586345381526104,0.6055079999999999,0.6140250734739074,0.024,0.6420501173308534,0.691318084214815,0.03643902439024391
arc_challenge,commonsense_qa,Grouped Logistic Regression,15,0.7797541476284449,0.5912178916838776,0.0557768924302788,0.717909375,0.3873015394683044,0.01,0.9206868308215603,0.6550910331302919,0.17928571428571455
arc_challenge,race,Grouped Logistic Regression,15,0.7797541476284449,0.5912178916838776,0.0557768924302788,0.698304,0.4279344097981389,0.008,0.8955438097044197,0.7238184361764107,0.14342857142857166
arc_challenge,arc_easy,Grouped Logistic Regression,15,0.7797541476284449,0.5912178916838776,0.0557768924302788,0.7894694624035423,0.5307520780037673,0.012048192771084338,1.0124594589264395,0.8977266849825967,0.21600688468158383
arc_challenge,arc_challenge,Grouped Logistic Regression,15,0.7797541476284449,0.5912178916838776,0.0557768924302788,0.7797541476284449,0.5912178916838776,0.0557768924302788,1.0,1.0,1.0
arc_challenge,open_book_qa,Grouped Logistic Regression,15,0.7797541476284449,0.5912178916838776,0.0557768924302788,0.6563893333333334,0.43499955308638216,0.044,0.8417901146530417,0.7357685875294435,0.788857142857144
arc_challenge,got_cities,Grouped Logistic Regression,15,0.7797541476284449,0.5912178916838776,0.0557768924302788,0.49019159341676743,0.4928679377561955,0.0,0.6286489080021478,0.8336485493570456,0.0
arc_challenge,got_sp_en_trans,Grouped Logistic Regression,15,0.7797541476284449,0.5912178916838776,0.0557768924302788,0.5324019024970273,0.571249557079837,0.034482758620689655,0.6827817512946638,0.9662250840427583,0.6182266009852226
arc_challenge,got_larger_than,Grouped Logistic Regression,15,0.7797541476284449,0.5912178916838776,0.0557768924302788,0.5517767003382794,0.5824063798343724,0.06295399515738499,0.7076290674649962,0.9850959993372177,1.1286751988931183
arc_challenge,imdb,Grouped Logistic Regression,15,0.7797541476284449,0.5912178916838776,0.0557768924302788,0.984244,0.9858368462966741,0.966,1.2622491371075018,1.6674678830995155,17.319000000000024
arc_challenge,amazon_polarity,Grouped Logistic Regression,15,0.7797541476284449,0.5912178916838776,0.0557768924302788,0.9349799999999999,0.9327080747199582,0.806,1.1990702490569125,1.577604615556314,14.450428571428594
arc_challenge,ag_news,Grouped Logistic Regression,15,0.7797541476284449,0.5912178916838776,0.0557768924302788,0.7806773333333333,0.6279704624132583,0.116,1.001183944590351,1.0621641720359711,2.079714285714289
arc_challenge,dbpedia_14,Grouped Logistic Regression,15,0.7797541476284449,0.5912178916838776,0.0557768924302788,0.7666277538314176,0.13276347677851746,0.0,0.9831659840002774,0.22455930147916714,0.0
arc_challenge,rte,Grouped Logistic Regression,15,0.7797541476284449,0.5912178916838776,0.0557768924302788,0.6428208369716796,0.6944332678366527,0.16967509025270758,0.8243891217850701,1.1745809414847073,3.042031975244976
arc_challenge,copa,Grouped Logistic Regression,15,0.7797541476284449,0.5912178916838776,0.0557768924302788,0.6925000000000001,0.7139175329900046,0.18,0.8881004379472418,1.207537090862829,3.2271428571428618
arc_challenge,boolq,Grouped Logistic Regression,15,0.7797541476284449,0.5912178916838776,0.0557768924302788,0.7177080000000001,0.7114687266361333,0.114,0.9204285763440274,1.203395121568062,2.043857142857146
open_book_qa,commonsense_qa,Grouped Logistic Regression,16,0.869712,0.7344566008890581,0.316,0.7093281250000001,0.3619689889423224,0.0,0.8155896722133305,0.4928391800198402,0.0
open_book_qa,race,Grouped Logistic Regression,16,0.869712,0.7344566008890581,0.316,0.6807253333333334,0.41974971859251514,0.0,0.7827020132334995,0.5715105808626528,0.0
open_book_qa,arc_easy,Grouped Logistic Regression,16,0.869712,0.7344566008890581,0.316,0.7320199573259749,0.4607286467578628,0.004016064257028112,0.8416808751931385,0.6273054748233616,0.012709064104519342
open_book_qa,arc_challenge,Grouped Logistic Regression,16,0.869712,0.7344566008890581,0.316,0.6708333554965719,0.37873078315620157,0.0,0.7713281586278812,0.5156612149686568,0.0
open_book_qa,open_book_qa,Grouped Logistic Regression,16,0.869712,0.7344566008890581,0.316,0.869712,0.7344566008890581,0.316,1.0,1.0,1.0
open_book_qa,got_cities,Grouped Logistic Regression,16,0.869712,0.7344566008890581,0.316,0.91500833251642,0.9301190450621775,0.7722772277227723,1.05208199095381,1.2664043647184469,2.44391527760371
open_book_qa,got_sp_en_trans,Grouped Logistic Regression,16,0.869712,0.7344566008890581,0.316,0.5264565992865635,0.615092243810468,0.06896551724137931,0.6053229106722265,0.8374793596597815,0.21824530772588388
open_book_qa,got_larger_than,Grouped Logistic Regression,16,0.869712,0.7344566008890581,0.316,0.8031295252947488,0.8405902418831884,0.5108958837772397,0.9234430768975808,1.1445063477755606,1.6167591258773408
open_book_qa,imdb,Grouped Logistic Regression,16,0.869712,0.7344566008890581,0.316,0.972324,0.9751001435411386,0.936,1.1179838843203267,1.3276484170212128,2.9620253164556964
open_book_qa,amazon_polarity,Grouped Logistic Regression,16,0.869712,0.7344566008890581,0.316,0.803988,0.7939373770323193,0.184,0.9244301561896352,1.0809861005691281,0.5822784810126582
open_book_qa,ag_news,Grouped Logistic Regression,16,0.869712,0.7344566008890581,0.316,0.8330293333333334,0.6661102742360072,0.04,0.9578220529707919,0.9069430017099475,0.12658227848101267
