Source,Target,Method,Layer_Config,Layer,InDist_AUC,OutDist_AUC,Recovered_AUC,Recovered_MAP,Recovered_BRP_90
race,got_cities,Grouped Logistic Regression,L8,8,0.637312,0.5278458538923199,0.8282377452367441,1.3751972635502983,1.2376237623762376
race,got_sp_en_trans,Grouped Logistic Regression,L8,8,0.637312,0.4848394768133175,0.76075686133843,1.3136019934367442,0.0
race,got_larger_than,Grouped Logistic Regression,L8,8,0.637312,0.49570555024652774,0.7778067104440647,1.333135794635186,0.3026634382566586
race,imdb,Grouped Logistic Regression,L8,8,0.637312,0.7745199999999999,1.2152917252460331,2.158413049144014,56.75
race,amazon_polarity,Grouped Logistic Regression,L8,8,0.637312,0.64274,1.008517021490259,1.745357718856543,5.5
race,ag_news,Grouped Logistic Regression,L8,8,0.637312,0.6788266666666666,1.0651402557407779,1.1064420367807029,6.0
race,dbpedia_14,Grouped Logistic Regression,L8,8,0.637312,0.5126915708812261,0.8044593085980275,0.1781724408520953,0.0
race,rte,Grouped Logistic Regression,L8,8,0.637312,0.4678934952886131,0.7341670881587247,1.2525164011733745,0.0
race,copa,Grouped Logistic Regression,L8,8,0.637312,0.4766,0.747828379192609,1.3049919206907405,0.0
race,boolq,Grouped Logistic Regression,L8,8,0.637312,0.393008,0.6166649929704761,1.184787434239609,0.0
arc_easy,commonsense_qa,Grouped Logistic Regression,L8,8,0.7126829555238263,0.7014906249999999,0.9842954985283744,0.7838959537270942,0.1245
arc_easy,race,Grouped Logistic Regression,L8,8,0.7126829555238263,0.5794506666666667,0.8130553174809223,0.696599644883369,0.09960000000000001
arc_easy,arc_easy,Grouped Logistic Regression,L8,8,0.7126829555238263,0.7126829555238263,1.0,1.0,1.0
arc_easy,arc_challenge,Grouped Logistic Regression,L8,8,0.7126829555238263,0.5616306469715264,0.7880511840762692,0.6142814854973514,0.0
arc_easy,open_book_qa,Grouped Logistic Regression,L8,8,0.7126829555238263,0.5684053333333334,0.7975570748925124,0.6863329202262303,0.2988
arc_easy,got_cities,Grouped Logistic Regression,L8,8,0.7126829555238263,0.5347514949514753,0.7503357429930813,1.3023564998141326,0.903960396039604
arc_easy,got_sp_en_trans,Grouped Logistic Regression,L8,8,0.7126829555238263,0.517538644470868,0.726183558143991,1.197543940146179,0.4293103448275862
arc_easy,got_larger_than,Grouped Logistic Regression,L8,8,0.7126829555238263,0.49350702648195155,0.6924636300853033,1.023561884026818,0.0
arc_easy,imdb,Grouped Logistic Regression,L8,8,0.7126829555238263,0.835072,1.171730000735344,1.8140123536512875,9.213
arc_easy,amazon_polarity,Grouped Logistic Regression,L8,8,0.7126829555238263,0.63716,0.8940300803625695,1.4822981778600781,4.8804
arc_easy,ag_news,Grouped Logistic Regression,L8,8,0.7126829555238263,0.7774719999999999,1.0909086487532922,1.3624467505524143,4.8804
arc_easy,dbpedia_14,Grouped Logistic Regression,L8,8,0.7126829555238263,0.9638559626436781,1.352433021125415,1.475050421412484,3.804166666666667
arc_easy,rte,Grouped Logistic Regression,L8,8,0.7126829555238263,0.5289395143948181,0.7421806713562336,1.18137983049183,0.2696750902527076
arc_easy,copa,Grouped Logistic Regression,L8,8,0.7126829555238263,0.6000000000000001,0.841889083146371,1.3075245199573586,0.249
arc_easy,boolq,Grouped Logistic Regression,L8,8,0.7126829555238263,0.5286799999999999,0.7418165341297055,1.1561340620709533,0.0
arc_challenge,commonsense_qa,Grouped Logistic Regression,L8,8,0.5673328049617286,0.6181593750000001,1.0895886322697312,0.9095524651998872,0.0
arc_challenge,race,Grouped Logistic Regression,L8,8,0.5673328049617286,0.5680639999999999,1.0012888291173656,0.9847936260864396,0.0
arc_challenge,arc_easy,Grouped Logistic Regression,L8,8,0.5673328049617286,0.5880619682458195,1.036537924658683,1.0451252929870871,0.0
arc_challenge,arc_challenge,Grouped Logistic Regression,L8,8,0.5673328049617286,0.5673328049617286,1.0,1.0,0.0
arc_challenge,open_book_qa,Grouped Logistic Regression,L8,8,0.5673328049617286,0.5763626666666666,1.0159163398026088,1.002534210888791,0.0
arc_challenge,got_cities,Grouped Logistic Regression,L8,8,0.5673328049617286,0.48300275572111667,0.8513570015640103,1.8215233922905294,0.0
arc_challenge,got_sp_en_trans,Grouped Logistic Regression,L8,8,0.5673328049617286,0.5127824019024969,0.9038476136367409,1.7959349208043127,0.0
arc_challenge,got_larger_than,Grouped Logistic Regression,L8,8,0.5673328049617286,0.4914785218885026,0.8662966738220911,1.6319066010919285,0.0
arc_challenge,imdb,Grouped Logistic Regression,L8,8,0.5673328049617286,0.574236,1.01216780517167,2.080648247683555,0.0
arc_challenge,amazon_polarity,Grouped Logistic Regression,L8,8,0.5673328049617286,0.698016,1.2303466217630181,2.241708044560688,0.0
arc_challenge,ag_news,Grouped Logistic Regression,L8,8,0.5673328049617286,0.7644373333333334,1.3474231115278117,1.5763618549595702,0.0
arc_challenge,dbpedia_14,Grouped Logistic Regression,L8,8,0.5673328049617286,0.8650472940613028,1.524761632847333,0.79228999076602,0.0
arc_challenge,rte,Grouped Logistic Regression,L8,8,0.5673328049617286,0.5247559592852766,0.9249526110528298,1.720123227537882,0.0
arc_challenge,copa,Grouped Logistic Regression,L8,8,0.5673328049617286,0.4799,0.8458879793358209,1.6744617047552872,0.0
arc_challenge,boolq,Grouped Logistic Regression,L8,8,0.5673328049617286,0.6202920000000001,1.0933476692606274,2.00131988920861,0.0
open_book_qa,commonsense_qa,Grouped Logistic Regression,L8,8,0.6773333333333333,0.592790625,0.8751830093503937,0.5986489228263375,0.0
open_book_qa,race,Grouped Logistic Regression,L8,8,0.6773333333333333,0.5389813333333333,0.7957401574803149,0.7240471326643813,3.0
open_book_qa,arc_easy,Grouped Logistic Regression,L8,8,0.6773333333333333,0.5814041786319712,0.8583723109723985,0.704046862365842,0.0
open_book_qa,arc_challenge,Grouped Logistic Regression,L8,8,0.6773333333333333,0.5745136942217777,0.8481993517053804,0.7034624167535353,0.9960159362549801
open_book_qa,open_book_qa,Grouped Logistic Regression,L8,8,0.6773333333333333,0.6773333333333333,1.0,1.0,1.0
