,,AUC,AUC,Accuracy,Accuracy,Macro F1,Macro F1,Recall (True),Recall (True)
Condition,,Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced),Setup A (Balanced),Setup B (Imbalanced)
Dataset,Algorithm,,,,,,,,
open_book_qa,PCA,0.73058,0.7133379999999999,0.659,0.659,0.6536554540151662,0.6510434415098665,0.796,0.818
open_book_qa,PCA-G,0.7328359999999999,0.7294959999999999,0.664,0.659,0.657282741738066,0.6496926849463392,0.852,0.83
race,CCS,0.7949780000000001,0.783638,0.733,0.714,0.7323573900936148,0.7139588100686498,0.794,0.752
race,DIM,0.761978,0.761118,0.694,0.692,0.692894419911682,0.6916435399321617,0.754,0.744
race,LAT,0.746946,0.741634,0.694,0.592,0.692894419911682,0.537957682359496,0.754,0.618
race,LDA,0.746946,0.741634,0.694,0.62,0.692894419911682,0.6174275830685529,0.754,0.538
race,LR,0.800942,0.782694,0.729,0.681,0.7289672050318088,0.6735567678640686,0.754,0.532
race,LR-G,0.931918,0.9263620000000001,0.846,0.731,0.8459993839975359,0.7141190136362042,0.848,0.488
race,PCA,0.746946,0.741634,0.694,0.592,0.692894419911682,0.537957682359496,0.754,0.61
race,PCA-G,0.7644419999999998,0.767562,0.698,0.703,0.6974141938793504,0.7014952374921981,0.758,0.806
