layer,accuracy,auc
h0,0.45,0.5151515151515151
h1,0.5,0.494949494949495
h2,0.5,0.48484848484848486
h3,0.4,0.48484848484848486
h4,0.5,0.5454545454545454
h5,0.55,0.5757575757575757
h6,0.5,0.5555555555555556
h7,0.55,0.5404040404040404
h8,0.55,0.5454545454545454
h9,0.5,0.5252525252525253
h10,0.5,0.5555555555555556
h11,0.45,0.5252525252525253
h12,0.4,0.5151515151515151
h13,0.4,0.5252525252525253
h14,0.3,0.25252525252525254
h15,0.25,0.1717171717171717
